Date,Test,Sample,Treatment,Pathogen,Dilution,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8,Count9,Count10
4/13/2017,pH 8,1,filtered,MS2,3,28,26,31,29,35,28,44,25,33,40
4/13/2017,pH 8,2,filtered,MS2,3,25,22,19,25,15,26,17,23,31,31
4/13/2017,pH 8,3,filtered,MS2,3,32,35,21,31,26,36,21,40,30,19
4/13/2017,pH 8,control,beef broth,P22,6,5,7,9,6,2,4,7,6,4,5
4/13/2017,pH 8,1,beef broth,P22,5,11,9,6,9,10,8,13,11,10,9
4/13/2017,pH 8,2,beef broth,P22,5,4,3,6,9,5,11,6,5,7,10
4/13/2017,pH 8,3,beef broth,P22,5,8,8,13,12,13,13,10,9,7,13
4/13/2017,pH 8,control,filtered,P22,6,8,7,7,16,9,14,14,9,11,10
4/13/2017,pH 8,1,filtered,P22,4,4,8,9,13,14,6,13,7,11,12
4/13/2017,pH 8,2,filtered,P22,4,6,7,6,6,4,4,10,10,10,11
4/13/2017,pH 8,3,filtered,P22,4,13,14,22,15,18,10,13,16,13,14
2/16/2017,pH 8,control,beef broth,phiX174,6,5,2,1,5,8,4,5,4,7,4
2/16/2017,pH 8,1,beef broth,phiX174,5,17,20,18,23,18,24,19,23,19,26
2/16/2017,pH 8,2,beef broth,phiX174,5,12,19,12,22,16,21,21,15,17,23
2/16/2017,pH 8,3,beef broth,phiX174,5,17,20,15,22,19,16,20,11,15,17
2/16/2017,pH 8,control,filtered,phiX174,6,5,5,14,6,10,6,6,5,9,12
2/16/2017,pH 8,1,filtered,phiX174,6,2,1,2,1,2,1,6,6,7,5
2/16/2017,pH 8,2,filtered,phiX174,5,3,6,5,1,4,5,4,2,2,4
2/16/2017,pH 8,3,filtered,phiX174,5,3,3,1,2,4,3,6,5,5,3
6/20/2017,Turbidity,control,filtered,fr,6,19,28,34,27,28,23,34,31,27,33
6/20/2017,Turbidity,1,filtered,fr,5,42,49,46,38,53,47,51,50,44,36
6/20/2017,Turbidity,2,filtered,fr,5,49,53,55,64,58,57,43,50,52,61
6/20/2017,Turbidity,3,filtered,fr,6,13,8,11,11,16,17,15,16,8,13
6/21/2017,Turbidity,control,beef broth,fr,6,21,15,20,20,15,14,14,13,12,18
6/21/2017,Turbidity,1,beef broth,fr,5,37,51,28,24,33,36,46,49,42,39
6/21/2017,Turbidity,2,beef broth,fr,5,35,30,26,33,24,31,35,25,26,30
6/21/2017,Turbidity,3,beef broth,fr,5,37,32,28,39,36,40,33,29,35,41
6/21/2017,Turbidity,control,filtered,fr,6,43,24,31,25,20,33,19,41,31,28
6/21/2017,Turbidity,1,filtered,fr,5,62,58,67,54,51,63,76,49,50,75
